scenario,RUSX,variable,region,2025,2030,2035,2040,2045,2050,unit
RCP2.6,YesRusX,Net Fossil Fuel Exports,Central Asia,7.74728557,7.46134958,7.59261788,7.9337175,8.38127447,8.30324172,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,China,-35.2128468,-34.38437048,-34.51494791,-35.9904381,-37.72512305,-41.39372887,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Colombia,2.837497318,2.313575585,2.031593403,1.892910562,1.740260283,1.589768243,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,EU-12,-3.49038357,-3.059461786,-2.876600269,-2.518486074,-2.419926597,-2.228140135,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,EU-15,-26.8693191,-23.1149564,-20.9258043,-19.7322875,-17.7591456,-16.2349369,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Europe_Eastern,-0.771044105,-0.385345049,0.093629846,0.904754258,1.957232658,2.744920955,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Europe_Non_EU,-4.86244579,-4.51350952,-4.42328667,-4.43652005,-4.42661432,-4.46643867,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,European Free Trade Association,7.810432806,6.98550948,6.078307507,5.280819536,4.334322751,3.493005219,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,India,-19.53641257,-19.87567697,-19.69283345,-21.01467658,-21.61587668,-21.99471693,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Indonesia,8.902486667,7.879516085,6.401931252,5.735123414,5.192624426,5.353057595,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Japan,-15.02566202,-13.11635561,-10.57844182,-9.16822057,-7.83285161,-6.82785873,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Mexico,1.4941829,1.2890159,1.1390485,1.2834731,0.7610201,0.387531,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Middle East,46.42775786,46.56132781,44.22955227,40.58782935,36.29705361,33.0170758,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Pakistan,-1.203974514,-1.308736024,-1.310516647,-1.488837164,-1.796142887,-2.025257798,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Russia,27.39090819,24.62394507,23.55393579,26.24450484,29.36444181,31.78179706,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,South Africa,0.51534326,-0.16082815,-0.39915911,-0.23005898,0.06471766,0.42705245,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,South America_Northern,6.543229068,6.043749041,6.110573697,6.684915652,6.911051661,6.792351722,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,South America_Southern,-0.412835653,-0.333456941,-0.188352497,-0.155386128,-0.170734449,-0.188963445,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,South Asia,-0.5054751,-0.5395283,-0.5655131,-0.6887988,-0.9047687,-1.1107333,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,South Korea,-9.318330537,-7.893933019,-6.628913467,-5.924206201,-5.427490362,-5.065542636,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Southeast Asia,-6.90181033,-6.84268931,-7.01770723,-7.73096868,-8.54931576,-8.94645168,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,Taiwan,-4.195221076,-3.840688475,-3.396037444,-3.061043432,-2.734610754,-2.469917105,EJ
RCP2.6,YesRusX,Net Fossil Fuel Exports,USA,-10.1659453,-10.5782397,-10.3155197,-10.2014101,-9.0346671,-5.2490827,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Africa_Eastern,-0.032120436,-0.198635396,-0.465319507,-0.897977102,-1.633797009,-2.640262927,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Africa_Northern,3.5945212,6.268559,7.5325047,9.0224083,10.3795565,11.7075698,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Africa_Southern,4.099806385,3.881161422,3.51502136,2.889510097,2.027713222,0.962923925,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Africa_Western,7.288071534,11.03493883,10.29168917,8.527198393,6.076138588,3.309787173,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Argentina,-0.60427987,-0.31620397,-0.06012488,0.24729991,0.53698624,0.74931035,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Australia_NZ,11.74291522,14.93236924,16.08232663,17.07728954,18.85613742,20.88245808,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Brazil,-1.6659714,-2.0597801,-2.4316732,-2.7922037,-3.1485675,-3.4239003,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Canada,9.6680675,15.605297,17.578791,19.8883459,21.6426907,22.53037929,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Central America and Caribbean,-1.283206312,-1.165493568,-1.178407107,-1.162848027,-1.09442938,-1.07378578,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Central Asia,8.76888991,12.53430677,14.48699238,16.06812266,17.34461043,18.53513619,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,China,-42.62963894,-46.9078825,-50.50946608,-52.70365102,-54.47801771,-55.02844325,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Colombia,3.177389774,3.559104812,3.678980443,3.764953627,3.844015882,3.890858134,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,EU-12,-4.04341062,-2.774981444,-2.574649379,-2.2385069,-1.970519277,-1.836559455,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,EU-15,-29.4498706,-25.3325466,-24.4293019,-23.0241464,-21.3374997,-19.5539333,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Europe_Eastern,-0.967516573,0.424163997,1.553398819,3.139145116,4.755747968,6.190726202,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Europe_Non_EU,-5.51278247,-5.64922866,-5.8786595,-6.06400416,-6.30380754,-6.48895045,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,European Free Trade Association,8.559670196,8.486730412,7.579659999,7.120884544,6.882814316,6.683908717,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,India,-23.26006773,-27.48879225,-32.67581251,-37.75391753,-42.48344462,-47.41771598,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Indonesia,10.40101616,13.6623021,14.38593196,14.51848357,13.35995669,12.03862706,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Japan,-15.81918342,-15.04860416,-14.11628574,-13.04221103,-12.08243933,-11.18675759,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Mexico,1.384786,1.9583625,0.9806055,0.4489612,-0.2678744,-0.3254053,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Middle East,47.71230222,46.59412179,43.98637578,40.91322407,39.77155592,38.68313428,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Pakistan,-1.374375135,-1.523992582,-1.826965419,-2.266349241,-2.900033276,-3.492252312,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,Russia,32.36038549,-1.037373045,-1.169923371,-1.307759472,-1.372468626,-1.349522015,EJ
SSP2|NoRusX,NoRusX,Net Fossil Fuel Exports,South Africa,1.56108968,3.3469042,4.13791921,4.95188742,5.91139149,6.71354657,EJ
